Tajikistan;8481855;49.35257677;26.782;100;99.8;18.98;7.8;30.76;99.73657227;99.82537842;33.9;42.9;39.7;49.7
Tanzania;53470420;50.30106178;31.608;3.6;46.4;5.355144064;7.3;37.78;76.08978271;84.76193237;32.3;37.8;45;52.1
Thailand;67959359;50.7135007;50.374;99.7546;100;39.31612674;44.8;37.85;92.59844208;95.43158722;9.1;11.9;10.7;13.8
Timor-Leste;1245015;49.22427654;32.77;26.7546;78.29790722;13.4;6.3;31.56;59.50658035;68.52423859;40.8;48.3;48.2;56.7
Togo;7304578;50.59132779;39.964;8.8546;67.56590578;7.12;4.0;46.02;55.30268097;78.2931366;46.7;57.6;72.1;84.4
Tonga;106170;49.85494961;23.712;82.7546;100;44.99951883;15.2;38.1;99.44522858;99.34896088;16.3;12.4;18.4;15
Trinidad and Tobago;1360088;50.65870738;8.445;99;100;69.19847061;91.3;;98.70233154;99.24793243;16.2;20;18.2;22.4
Tunisia;11107800;50.58374448;66.842;100;100;48.51983599;31.8;35.81;72.80232239;89.6815033;10.9;13.3;12.7;15.3
Turkey;78665830;50.83689831;73.397;100;100;53.74497914;53.7;40.18;92.90122223;98.64672852;10.6;12.5;12.4;14.6
Turkmenistan;5373502;50.85688998;50.037;100;100;14.99677482;45.3;;99.62986755;99.7598114;36.8;50.3;43.9;58.5
Turks and Caicos Islands;34339;50.36927119;92.186;79.7546;91.57612036;51.91699952;43.0;;;;14.76941176;18.68646973;17.25122343;21.75620251
Tuvalu;9916;49.22507466;59.717;31.7546;56.8812386;42.7;10.8;41.1;;;20.1;25.3;24.6;29.5
Uganda;39032383;50.02309236;16.101;8.054601;71.2293404;19.22109963;5.1;41.01;66.78479767;80.95406342;33.7;41.6;49.1;59.9
Ukraine;45198200;53.6866303;69.695;100;100;49.26;21.8;24.09;99.73970795;99.79344177;6.9;8.5;8.1;9.9
United Arab Emirates;9156963;26.74147531;85.541;92.8546;98.57802417;91.24340578;191.7;;95.07633972;92.35662079;5.2;6.4;6.1;7.5
United Kingdom;65138232;50.70973538;82.592;100;100;92.0003;113.6;32.57;;;3.2;3.9;3.8;4.7
United States;321418820;50.43292656;81.617;100;100;74.55;153.7;41.06;;;5;6.1;5.9;7.1
Uruguay;3431555;51.73036714;95.311;95.1;99.849824;64.6;58.2;41.6;98.8039093;98.04225159;7.8;9.5;9.1;11.1
Uzbekistan;31299500;50.82725709;36.365;100;100;42.8;16.7;35.27;99.99582672;99.99450684;29.2;38.4;33.9;44.1
Vanuatu;264652;49.34668924;26.128;17.7546;54.72496455;22.35140458;8.2;37.19;83.67617798;86.45131683;21.1;25;25.2;29.8
Venezuela, RB;31108083;50.21486538;88.99;100;100;61.86924809;48.4;46.94;95.70818329;95.08133698;11.2;14.4;13.2;16.6
Vietnam;91703800;50.53434384;33.593;97.6546;100;52.72;16.5;37.59;92.84365845;96.2776413;15;19.6;18.7;24.6
Virgin Islands (U.S.);103574;52.36285292;95.335;79.7546;91.39085046;54.8391373;43.0;;;;14.76941176;18.68646973;17.25122343;21.75620251
West Bank and Gaza;4422143;49.3034757;75.252;92.8546;99.34946024;57.42419241;13.8;34.46;94.80767059;98.49466705;16.6;19.4;19.3;22.9
Yemen, Rep.;26832215;49.48876938;34.606;33.4546;78.89124885;25.0995144;7.7;35.9;54.85063171;84.97328186;30.4;37.1;38.3;45.5
